Price      Adj Close      Close       High    Low       Open   Volume
Ticker           CCO        CCO        CCO    CCO        CCO      CCO
Date                                                                 
2005-11-14  5.052824  19.000000  19.240000  18.25  18.299999  1692700
2005-11-15  5.052824  19.000000  19.450001  18.93  19.000000   776100
2005-11-16  5.079417  19.100000  19.299999  19.00  19.030001   646400
2005-11-17  5.260256  19.780001  19.950001  19.00  19.150000  1392000
2005-11-18  5.092715  19.150000  19.900000  19.09  19.900000   994200
...              ...        ...        ...    ...        ...      ...
2024-07-25  1.640000   1.640000   1.710000   1.63   1.680000  1845300
2024-07-26  1.650000   1.650000   1.670000   1.62   1.670000  1323500
2024-07-29  1.660000   1.660000   1.700000   1.63   1.660000  1234500
2024-07-30  1.680000   1.680000   1.700000   1.63   1.680000  2587800
2024-07-31  1.660000   1.660000   1.740000   1.65   1.680000  2843900

[4708 rows x 6 columns]
